ID,lat,long,type,x,y,lu_Corn_0200m,lu_Corn_0500m,lu_Corn_1000m,lu_Corn_2000m,lu_Corn_5000m,lu_Soybeans_0200m,lu_Soybeans_0500m,lu_Soybeans_1000m,lu_Soybeans_2000m,lu_Soybeans_5000m,lu_Alfalfa_0500m,lu_Alfalfa_1000m,lu_DevelopedOpenSpace_0100m,lu_DevelopedOpenSpace_0200m,lu_DevelopedOpenSpace_0500m,lu_DevelopedOpenSpace_1000m,lu_DevelopedOpenSpace_2000m,lu_DevelopedOpenSpace_5000m,lu_DevelopedLowIntensity_0050m,lu_DevelopedLowIntensity_0100m,lu_DevelopedLowIntensity_0200m,lu_DevelopedLowIntensity_0500m,lu_DevelopedLowIntensity_1000m,lu_DevelopedLowIntensity_2000m,lu_DevelopedLowIntensity_5000m,lu_DevelopedMedIntensity_0050m,lu_DevelopedMedIntensity_0100m,lu_DevelopedMedIntensity_0200m,lu_DevelopedMedIntensity_0500m,lu_DevelopedMedIntensity_1000m,lu_DevelopedMedIntensity_2000m,lu_DevelopedMedIntensity_5000m,lu_DevelopedHighIntensity_0050m,lu_DevelopedHighIntensity_0100m,lu_DevelopedHighIntensity_0200m,lu_DevelopedHighIntensity_0500m,lu_DevelopedHighIntensity_1000m,lu_DevelopedHighIntensity_2000m,lu_DevelopedHighIntensity_5000m,lu_DeciduousForest_0500m,lu_DeciduousForest_1000m,lu_DeciduousForest_2000m,lu_MixedForest_0500m,lu_GrassPasture_0200m,lu_GrassPasture_0500m,lu_GrassPasture_1000m,lu_GrassPasture_2000m,lu_GrassPasture_5000m,km_to_Corn,km_to_Soybeans,km_to_WinterWheat,km_to_DblCropWinWhtSoybeans,km_to_Oats,km_to_Alfalfa,km_to_OtherHayNonAlfalfa,km_to_SodGrassSeed,km_to_AnyCropland,km_to_FarmSmall,km_to_FarmLarge,km_to_FarmEnclosed,km_to_FarmOpen,ton_NH3_1000m,ton_NH3_2000m,ton_NH3_5000m,ton_NOx_1000m,ton_NOx_2000m,ton_NOx_5000m,ton_SO2_1000m,ton_SO2_2000m,ton_idw_NH3,ton_idw_NOx,ton_idw_SO2,km_to_NH3,km_to_NOx,km_to_SO2
ABE,40.10152451,-88.22656684,S,395454.4686,4439746.426,0,0,0,0.000203894,0.063993216,0,0,0,0.008971353,0.072669156,0,0,0,0,0.029268293,0.065279478,0.073096136,0.074577211,0,0.08,0.214285714,0.341463415,0.310893513,0.329289428,0.352582397,0.428571429,0.48,0.56122449,0.46504065,0.437372501,0.380161077,0.264534647,0.571428571,0.44,0.224489796,0.164227642,0.186454508,0.190335406,0.114189729,0,0,0.000611683,0,0,0,0,0.01233561,0.036807515,1.775182386,1.487839148,1.486268871,1.770621104,3.189935363,1.38222149,1.582296221,2.840338816,1.38222149,1.00041125,14.55585959,3.51357195,1.00041125,2.27217,2.39535,3.59929,146.27076,150.12421,231.5639,90.77466,90.79781,1.268976657,76.18210124,45.10220518,0.204612022,0.204612022,0.204612022
CEE,40.11363332,-88.22614045,L,395509.3451,4441089.962,0,0,0,0.006010595,0.05407521,0,0,0,0,0.052460781,0,0,0,0,0,0.002851324,0.038202934,0.077867649,0,0.076923077,0.058823529,0.04248366,0.19185336,0.285656072,0.351863931,0.666666667,0.615384615,0.578431373,0.589869281,0.554786151,0.430521597,0.27598578,0.333333333,0.307692308,0.362745098,0.367647059,0.250509165,0.224123879,0.133116989,0,0,0.011104319,0,0,0,0,0.000305623,0.033527935,1.71668858,2.040860403,2.451829467,2.843057846,4.504057324,2.703037386,2.892350226,4.160609261,1.71668858,2.320663074,13.35495872,4.835480035,2.320663074,0.12318,2.49007,3.59929,3.85345,167.47075,232.20741,0.02315,90.90767,0.34291682,20.2883675,9.329518529,0.51041362,0.51041362,0.51041362
EarleCtFarm,40.07843347,-88.18117514,L,399289.4617,4437131.039,0.291666667,0.506578947,0.412291412,0.32803424,0.335361378,0,0.024671053,0.144485144,0.204116988,0.239564813,0,0.001628002,0.083333333,0.166666667,0.070723684,0.074481074,0.093243656,0.053566477,0.75,0.458333333,0.239583333,0.212171053,0.180708181,0.199429328,0.167370773,0.25,0.208333333,0.25,0.171052632,0.129426129,0.105574238,0.091686104,0,0,0,0,0.024827025,0.02078875,0.026408077,0.004934211,0.001628002,0.008458168,0.006578947,0,0.003289474,0.026048026,0.031692653,0.06470713,0.054694597,0.355414555,1.657278018,1.707274706,3.167935492,0.52009134,0.609203596,3.578642546,0.054694597,3.065766893,10.96409914,3.065766893,3.509016952,0,0,2.51034,0,0,160.44578,0,0,0.261180848,14.32981189,5.789384566,3.713327421,3.713327421,3.713327421
HorseFarm,40.09355328,-88.22886703,S,395246.1839,4438864.354,0,0,0,0.032185781,0.092357103,0,0,0.009380098,0.039213689,0.106231048,0,0.001631321,0,0.11,0.117455139,0.11908646,0.080464453,0.068358929,0.428571429,0.615384615,0.46,0.482871126,0.382137031,0.306885313,0.335925527,0.428571429,0.230769231,0.36,0.340946166,0.319331158,0.303218578,0.245638919,0.142857143,0.153846154,0.07,0.058727569,0.119902121,0.132104298,0.09044964,0,0,0.004787126,0,0,0,0.037928222,0.088103483,0.04113274,1.096820299,0.614233527,0.861785995,0.878296732,2.403954458,0.694408043,0.69051365,1.935089126,0.614233527,0.134450468,13.92220038,2.607636266,0.134450468,0,2.27217,2.7589,0,146.27076,182.67482,0,90.77466,0.553548572,31.69374347,16.53239009,1.08159091,1.08159091,1.08159091
Spurlock,40.10733903,-88.2207637,S,395957.9675,4440385.012,0,0,0,0,0.061237137,0,0,0,0,0.065542491,0,0,0,0,0,0.012229923,0.060423884,0.080676462,0,0,0.041666667,0.228013029,0.333469221,0.369675973,0.348945678,0.285714286,0.461538462,0.697916667,0.53257329,0.469221362,0.385877318,0.262871214,0.714285714,0.538461538,0.260416667,0.239413681,0.185079494,0.183003872,0.118772322,0,0,0,0,0,0,0,0.000815162,0.037215219,2.333461285,2.096514934,2.25298888,2.556715244,3.760036809,1.996027547,2.368421326,3.604413604,1.996027547,1.788526728,14.18501046,4.271595906,1.788526728,2.27217,2.44309,3.59929,146.27076,166.07309,232.20741,90.77466,90.89592,0.562800547,32.8041317,17.29071921,0.730007718,0.730007718,0.730007718
StudentFarm,40.08242086,-88.21092183,S,396759.1285,4437607.718,0.02020202,0.057003257,0.075732899,0.139681892,0.197168627,0.03030303,0.053745928,0.067996743,0.130403752,0.171953746,0.001628664,0.022394137,0.375,0.131313131,0.076547231,0.156758958,0.098694943,0.058682498,0.142857143,0.25,0.242424242,0.193811075,0.276058632,0.316170473,0.252377147,0.285714286,0.083333333,0.202020202,0.167752443,0.122557003,0.115008157,0.183223786,0.285714286,0.166666667,0.070707071,0.017915309,0.009771987,0.015701468,0.064162576,0.110749186,0.069218241,0.02406199,0.048859935,0.212121212,0.255700326,0.149022801,0.124286297,0.051082152,0.107196511,0.134194926,0.467550757,0.844084814,1.163308088,0.386675466,0.540929442,1.699319847,0.107196511,1.044767184,12.15371725,2.196465422,1.044767184,0,0,2.68126,0,0,180.24072,0,0,0.343166925,19.20194479,8.720401206,2.706733017,2.706733017,2.706733017
Surplus,40.09572688,-88.21471557,S,396455.8403,4439089.045,0,0,0,0.023549801,0.114769336,0,0,0.00244998,0.025282903,0.111198082,0,0.00040833,0.086956522,0.309278351,0.330081301,0.172315231,0.082169436,0.076512891,0.428571429,0.52173913,0.453608247,0.538211382,0.597795018,0.457029259,0.32139654,0.285714286,0.217391304,0.195876289,0.112195122,0.194773377,0.268426955,0.230614941,0.285714286,0.173913043,0.041237113,0.008130081,0.028991425,0.084616169,0.079937381,0,0,0.013151188,0,0,0.011382114,0.003266639,0.033336732,0.042903968,1.140133012,0.970197398,1.859684193,1.9028839,2.481541702,0.979256574,1.752085188,2.557002639,0.970197398,0.912803688,13.6418989,3.332146724,0.912803688,0,2.27217,2.72824,0,146.27076,181.63838,0,90.77466,0.450713573,25.61795721,12.80452583,1.369172312,1.369172312,1.369172312
WaterSurvey,40.08607928,-88.24085494,S,394212.6845,4438048.953,0,0,0.038728088,0.060902332,0.109547263,0,0.006535948,0.043212393,0.072308789,0.132983234,0.009803922,0.004484305,0.090909091,0.020408163,0.029411765,0.050142682,0.058356248,0.058891643,0.5,0.272727273,0.234693878,0.245098039,0.242152466,0.321825033,0.321792028,0.5,0.636363636,0.693877551,0.421568627,0.326538932,0.261431918,0.234767434,0,0,0.051020408,0.132352941,0.125152874,0.099500968,0.077402309,0.001633987,0.001630656,0.002546084,0,0,0.125816993,0.144313086,0.10713922,0.045534608,0.674055013,0.367496701,0.625868653,0.590140047,2.386252343,0.330586955,0.256768441,1.101421591,0.256768441,1.184308279,13.70677039,1.735634817,1.184308279,0,0,2.59726,0,0,170.89867,0,0,0.386354257,21.88300695,10.20571937,2.220817812,2.220817812,2.220817812
CowFarm,40.08781238,-88.22039308,L,395959.816,4438217.19,0.010416667,0.004893964,0.080342577,0.045371126,0.134453233,0.041666667,0.110929853,0.092169657,0.064437194,0.144499715,0.003262643,0.001223491,0,0.09375,0.168026101,0.179853181,0.101651713,0.066721031,0,0.192307692,0.239583333,0.396411093,0.362561175,0.345840131,0.297936883,1,0.769230769,0.5,0.221859706,0.162724307,0.188519576,0.217483487,0,0.038461538,0.041666667,0.030995106,0.024469821,0.052814029,0.070782027,0.030995106,0.016721044,0.021716966,0.014681892,0.072916667,0.017944535,0.072185971,0.143454323,0.046367121,0.167093284,0.166093398,1.012810151,1.128872909,1.597394826,0.227965001,1.048317101,1.554387268,0.166093398,0.093748439,13.03147757,2.33458981,0.093748439,0,2.27217,2.72824,0,146.27076,181.63838,0,90.77466,0.419258971,23.67354895,11.50120213,1.81498344,1.81498344,1.81498344
Bondville,40.0528,-88.3719,L,382983.3277,4434519.115,0,0.410714286,0.445896284,0.519266055,0.420275912,0.556701031,0.477272727,0.450796243,0.409582059,0.495434088,0.01461039,0.003674969,0,0,0.01461039,0.010208248,0.01304791,0.017089557,0,0,0,0.012987013,0.010616578,0.018246687,0.025618029,0,0,0,0,0.00204165,0.002140673,0.004027787,0,0,0,0.001623377,0.00040833,0.000203874,0.0007175,0,0,0,0,0.340206186,0.063311688,0.035524704,0.01529052,0.022405583,0.21527308,0.097385953,0.573170186,0.47380174,2.696264728,0.04428892,0.179005001,2.193820199,0.04428892,8.567438379,19.79162797,11.72072988,8.567438379,0,0,0,0,0,0,0,0,0.221280366,13.45841604,4.296673863,9.623424644,9.195933953,9.195933953
