x,y
393015,4435015
393045,4435015
393075,4435015
393105,4435015
393135,4435015
393165,4435015
393195,4435015
393225,4435015
393255,4435015
393285,4435015
393315,4435015
393345,4435015
393375,4435015
393405,4435015
393435,4435015
393465,4435015
393495,4435015
393525,4435015
393555,4435015
393585,4435015
393615,4435015
393645,4435015
393675,4435015
393705,4435015
393735,4435015
393765,4435015
393795,4435015
393825,4435015
393855,4435015
393885,4435015
393915,4435015
393945,4435015
393975,4435015
394005,4435015
394035,4435015
394065,4435015
394095,4435015
394125,4435015
394155,4435015
394185,4435015
394215,4435015
394245,4435015
394275,4435015
394305,4435015
394335,4435015
394365,4435015
394395,4435015
394425,4435015
394455,4435015
394485,4435015
394515,4435015
394545,4435015
394575,4435015
394605,4435015
394635,4435015
394665,4435015
394695,4435015
394725,4435015
394755,4435015
394785,4435015
394815,4435015
394845,4435015
394875,4435015
394905,4435015
394935,4435015
394965,4435015
394995,4435015
395025,4435015
395055,4435015
395085,4435015
395115,4435015
395145,4435015
395175,4435015
395205,4435015
395235,4435015
395265,4435015
395295,4435015
395325,4435015
395355,4435015
395385,4435015
395415,4435015
395445,4435015
395475,4435015
395505,4435015
395535,4435015
395565,4435015
395595,4435015
395625,4435015
395655,4435015
395685,4435015
395715,4435015
395745,4435015
395775,4435015
395805,4435015
395835,4435015
395865,4435015
395895,4435015
395925,4435015
395955,4435015
395985,4435015
396015,4435015
396045,4435015
396075,4435015
396105,4435015
396135,4435015
396165,4435015
396195,4435015
396225,4435015
396255,4435015
396285,4435015
396315,4435015
396345,4435015
396375,4435015
396405,4435015
396435,4435015
396465,4435015
396495,4435015
396525,4435015
396555,4435015
396585,4435015
396615,4435015
396645,4435015
396675,4435015
396705,4435015
396735,4435015
396765,4435015
396795,4435015
396825,4435015
396855,4435015
396885,4435015
396915,4435015
396945,4435015
396975,4435015
397005,4435015
397035,4435015
397065,4435015
397095,4435015
397125,4435015
397155,4435015
397185,4435015
397215,4435015
397245,4435015
397275,4435015
397305,4435015
397335,4435015
397365,4435015
397395,4435015
397425,4435015
397455,4435015
397485,4435015
397515,4435015
397545,4435015
397575,4435015
397605,4435015
397635,4435015
397665,4435015
397695,4435015
397725,4435015
397755,4435015
397785,4435015
397815,4435015
397845,4435015
397875,4435015
397905,4435015
397935,4435015
397965,4435015
397995,4435015
398025,4435015
398055,4435015
398085,4435015
398115,4435015
398145,4435015
398175,4435015
398205,4435015
398235,4435015
398265,4435015
398295,4435015
398325,4435015
398355,4435015
398385,4435015
398415,4435015
398445,4435015
398475,4435015
398505,4435015
398535,4435015
398565,4435015
398595,4435015
398625,4435015
398655,4435015
398685,4435015
398715,4435015
398745,4435015
398775,4435015
398805,4435015
398835,4435015
398865,4435015
398895,4435015
398925,4435015
398955,4435015
398985,4435015
399015,4435015
399045,4435015
399075,4435015
399105,4435015
399135,4435015
399165,4435015
399195,4435015
399225,4435015
399255,4435015
399285,4435015
399315,4435015
399345,4435015
399375,4435015
399405,4435015
399435,4435015
399465,4435015
399495,4435015
399525,4435015
399555,4435015
399585,4435015
399615,4435015
399645,4435015
399675,4435015
399705,4435015
399735,4435015
399765,4435015
399795,4435015
399825,4435015
399855,4435015
399885,4435015
399915,4435015
399945,4435015
399975,4435015
400005,4435015
393015,4435045
393045,4435045
393075,4435045
393105,4435045
393135,4435045
393165,4435045
393195,4435045
393225,4435045
393255,4435045
393285,4435045
393315,4435045
393345,4435045
393375,4435045
393405,4435045
393435,4435045
393465,4435045
393495,4435045
393525,4435045
393555,4435045
393585,4435045
393615,4435045
393645,4435045
393675,4435045
393705,4435045
393735,4435045
393765,4435045
393795,4435045
393825,4435045
393855,4435045
393885,4435045
393915,4435045
393945,4435045
393975,4435045
394005,4435045
394035,4435045
394065,4435045
394095,4435045
394125,4435045
394155,4435045
394185,4435045
394215,4435045
394245,4435045
394275,4435045
394305,4435045
394335,4435045
394365,4435045
394395,4435045
394425,4435045
394455,4435045
394485,4435045
394515,4435045
394545,4435045
394575,4435045
394605,4435045
394635,4435045
394665,4435045
394695,4435045
394725,4435045
394755,4435045
394785,4435045
394815,4435045
394845,4435045
394875,4435045
394905,4435045
394935,4435045
394965,4435045
394995,4435045
395025,4435045
395055,4435045
395085,4435045
395115,4435045
395145,4435045
395175,4435045
395205,4435045
395235,4435045
395265,4435045
395295,4435045
395325,4435045
395355,4435045
395385,4435045
395415,4435045
395445,4435045
395475,4435045
395505,4435045
395535,4435045
395565,4435045
395595,4435045
395625,4435045
395655,4435045
395685,4435045
395715,4435045
395745,4435045
395775,4435045
395805,4435045
395835,4435045
395865,4435045
395895,4435045
395925,4435045
395955,4435045
395985,4435045
396015,4435045
396045,4435045
396075,4435045
396105,4435045
396135,4435045
396165,4435045
396195,4435045
396225,4435045
396255,4435045
396285,4435045
396315,4435045
396345,4435045
396375,4435045
396405,4435045
396435,4435045
396465,4435045
396495,4435045
396525,4435045
396555,4435045
396585,4435045
396615,4435045
396645,4435045
396675,4435045
396705,4435045
396735,4435045
396765,4435045
396795,4435045
396825,4435045
396855,4435045
396885,4435045
396915,4435045
396945,4435045
396975,4435045
397005,4435045
397035,4435045
397065,4435045
397095,4435045
397125,4435045
397155,4435045
397185,4435045
397215,4435045
397245,4435045
397275,4435045
397305,4435045
397335,4435045
397365,4435045
397395,4435045
397425,4435045
397455,4435045
397485,4435045
397515,4435045
397545,4435045
397575,4435045
397605,4435045
397635,4435045
397665,4435045
397695,4435045
397725,4435045
397755,4435045
397785,4435045
397815,4435045
397845,4435045
397875,4435045
397905,4435045
397935,4435045
397965,4435045
397995,4435045
398025,4435045
398055,4435045
398085,4435045
398115,4435045
398145,4435045
398175,4435045
398205,4435045
398235,4435045
398265,4435045
398295,4435045
398325,4435045
398355,4435045
398385,4435045
398415,4435045
398445,4435045
398475,4435045
398505,4435045
398535,4435045
398565,4435045
398595,4435045
398625,4435045
398655,4435045
398685,4435045
398715,4435045
398745,4435045
398775,4435045
398805,4435045
398835,4435045
398865,4435045
398895,4435045
398925,4435045
398955,4435045
398985,4435045
399015,4435045
399045,4435045
399075,4435045
399105,4435045
399135,4435045
399165,4435045
399195,4435045
399225,4435045
399255,4435045
399285,4435045
399315,4435045
399345,4435045
399375,4435045
399405,4435045
399435,4435045
399465,4435045
399495,4435045
399525,4435045
399555,4435045
399585,4435045
399615,4435045
399645,4435045
399675,4435045
399705,4435045
399735,4435045
399765,4435045
399795,4435045
399825,4435045
399855,4435045
399885,4435045
399915,4435045
399945,4435045
399975,4435045
400005,4435045
393015,4435075
393045,4435075
393075,4435075
393105,4435075
393135,4435075
393165,4435075
393195,4435075
393225,4435075
393255,4435075
393285,4435075
393315,4435075
393345,4435075
393375,4435075
393405,4435075
393435,4435075
393465,4435075
393495,4435075
393525,4435075
393555,4435075
393585,4435075
393615,4435075
393645,4435075
393675,4435075
393705,4435075
393735,4435075
393765,4435075
393795,4435075
393825,4435075
393855,4435075
393885,4435075
393915,4435075
393945,4435075
393975,4435075
394005,4435075
394035,4435075
394065,4435075
394095,4435075
394125,4435075
394155,4435075
394185,4435075
394215,4435075
394245,4435075
394275,4435075
394305,4435075
394335,4435075
394365,4435075
394395,4435075
394425,4435075
394455,4435075
394485,4435075
394515,4435075
394545,4435075
394575,4435075
394605,4435075
394635,4435075
394665,4435075
394695,4435075
394725,4435075
394755,4435075
394785,4435075
394815,4435075
394845,4435075
394875,4435075
394905,4435075
394935,4435075
394965,4435075
394995,4435075
395025,4435075
395055,4435075
395085,4435075
395115,4435075
395145,4435075
395175,4435075
395205,4435075
395235,4435075
395265,4435075
395295,4435075
395325,4435075
395355,4435075
395385,4435075
395415,4435075
395445,4435075
395475,4435075
395505,4435075
395535,4435075
395565,4435075
395595,4435075
395625,4435075
395655,4435075
395685,4435075
395715,4435075
395745,4435075
395775,4435075
395805,4435075
395835,4435075
395865,4435075
395895,4435075
395925,4435075
395955,4435075
395985,4435075
396015,4435075
396045,4435075
396075,4435075
396105,4435075
396135,4435075
396165,4435075
396195,4435075
396225,4435075
396255,4435075
396285,4435075
396315,4435075
396345,4435075
396375,4435075
396405,4435075
396435,4435075
396465,4435075
396495,4435075
396525,4435075
396555,4435075
396585,4435075
396615,4435075
396645,4435075
396675,4435075
396705,4435075
396735,4435075
396765,4435075
396795,4435075
396825,4435075
396855,4435075
396885,4435075
396915,4435075
396945,4435075
396975,4435075
397005,4435075
397035,4435075
397065,4435075
397095,4435075
397125,4435075
397155,4435075
397185,4435075
397215,4435075
397245,4435075
397275,4435075
397305,4435075
397335,4435075
397365,4435075
397395,4435075
397425,4435075
397455,4435075
397485,4435075
397515,4435075
397545,4435075
397575,4435075
397605,4435075
397635,4435075
397665,4435075
397695,4435075
397725,4435075
397755,4435075
397785,4435075
397815,4435075
397845,4435075
397875,4435075
397905,4435075
397935,4435075
397965,4435075
397995,4435075
398025,4435075
398055,4435075
398085,4435075
398115,4435075
398145,4435075
398175,4435075
398205,4435075
398235,4435075
398265,4435075
398295,4435075
398325,4435075
398355,4435075
398385,4435075
398415,4435075
398445,4435075
398475,4435075
398505,4435075
398535,4435075
398565,4435075
398595,4435075
398625,4435075
398655,4435075
398685,4435075
398715,4435075
398745,4435075
398775,4435075
398805,4435075
398835,4435075
398865,4435075
398895,4435075
398925,4435075
398955,4435075
398985,4435075
399015,4435075
399045,4435075
399075,4435075
399105,4435075
399135,4435075
399165,4435075
399195,4435075
399225,4435075
399255,4435075
399285,4435075
399315,4435075
399345,4435075
399375,4435075
399405,4435075
399435,4435075
399465,4435075
399495,4435075
399525,4435075
399555,4435075
399585,4435075
399615,4435075
399645,4435075
399675,4435075
399705,4435075
399735,4435075
399765,4435075
399795,4435075
399825,4435075
399855,4435075
399885,4435075
399915,4435075
399945,4435075
399975,4435075
400005,4435075
393015,4435105
393045,4435105
393075,4435105
393105,4435105
393135,4435105
393165,4435105
393195,4435105
393225,4435105
393255,4435105
393285,4435105
393315,4435105
393345,4435105
393375,4435105
393405,4435105
393435,4435105
393465,4435105
393495,4435105
393525,4435105
393555,4435105
393585,4435105
393615,4435105
393645,4435105
393675,4435105
393705,4435105
393735,4435105
393765,4435105
393795,4435105
393825,4435105
393855,4435105
393885,4435105
393915,4435105
393945,4435105
393975,4435105
394005,4435105
394035,4435105
394065,4435105
394095,4435105
394125,4435105
394155,4435105
394185,4435105
394215,4435105
394245,4435105
394275,4435105
394305,4435105
394335,4435105
394365,4435105
394395,4435105
394425,4435105
394455,4435105
394485,4435105
394515,4435105
394545,4435105
394575,4435105
394605,4435105
394635,4435105
394665,4435105
394695,4435105
394725,4435105
394755,4435105
394785,4435105
394815,4435105
394845,4435105
394875,4435105
394905,4435105
394935,4435105
394965,4435105
394995,4435105
395025,4435105
395055,4435105
395085,4435105
395115,4435105
395145,4435105
395175,4435105
395205,4435105
395235,4435105
395265,4435105
395295,4435105
395325,4435105
395355,4435105
395385,4435105
395415,4435105
395445,4435105
395475,4435105
395505,4435105
395535,4435105
395565,4435105
395595,4435105
395625,4435105
395655,4435105
395685,4435105
395715,4435105
395745,4435105
395775,4435105
395805,4435105
395835,4435105
395865,4435105
395895,4435105
395925,4435105
395955,4435105
395985,4435105
396015,4435105
396045,4435105
396075,4435105
396105,4435105
396135,4435105
396165,4435105
396195,4435105
396225,4435105
396255,4435105
396285,4435105
396315,4435105
396345,4435105
396375,4435105
396405,4435105
396435,4435105
396465,4435105
396495,4435105
396525,4435105
396555,4435105
396585,4435105
396615,4435105
396645,4435105
396675,4435105
396705,4435105
396735,4435105
396765,4435105
396795,4435105
396825,4435105
396855,4435105
396885,4435105
396915,4435105
396945,4435105
396975,4435105
397005,4435105
397035,4435105
397065,4435105
397095,4435105
397125,4435105
397155,4435105
397185,4435105
397215,4435105
397245,4435105
397275,4435105
397305,4435105
397335,4435105
397365,4435105
397395,4435105
397425,4435105
397455,4435105
397485,4435105
397515,4435105
397545,4435105
397575,4435105
397605,4435105
397635,4435105
397665,4435105
397695,4435105
397725,4435105
397755,4435105
397785,4435105
397815,4435105
397845,4435105
397875,4435105
397905,4435105
397935,4435105
397965,4435105
397995,4435105
398025,4435105
398055,4435105
398085,4435105
398115,4435105
398145,4435105
398175,4435105
398205,4435105
398235,4435105
398265,4435105
398295,4435105
398325,4435105
398355,4435105
398385,4435105
398415,4435105
398445,4435105
398475,4435105
398505,4435105
398535,4435105
398565,4435105
398595,4435105
398625,4435105
398655,4435105
398685,4435105
398715,4435105
398745,4435105
398775,4435105
398805,4435105
398835,4435105
398865,4435105
398895,4435105
398925,4435105
398955,4435105
398985,4435105
399015,4435105
399045,4435105
